Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.843646933931957 75.72508162930053,,,26.857521295792996 75.8114735610642,,27.00493487925647 75.77273668582838
26.814469128639878 75.8593707775715,,,26.92418059878382 75.83351659994216,,26.93676109621993 75.84819679253486
26.78243020613312 75.84234542134233,,,26.768415451086174 75.83183820114076,,26.974828621580915 75.78460565319006
26.911433091741728 75.70188573545025,,,26.811725871877975 75.83895017970286,,26.999835144657954 75.77230228080171
26.96899865104642 75.76999469812061,,,26.823624459836115 75.82089571846483,,26.900136953893774 75.81383221908742
26.957818605904148 75.83696423554193,,,26.91921932467503 75.65634488956114,,26.76445656151991 75.84893883327871
26.91274884464225 75.85617488399582,,,26.912837506891005 75.76555067225993,,26.900386010038993 75.822518605675
26.937829023370686 75.69829434211667,,,26.863256820079947 75.79976506239029,,26.812646461048413 75.88900415038324
26.84955371820689 75.85230339400833,,,26.84065127743888 75.88805410432137,,26.866410817116037 75.76095732938457
26.940035217861773 75.85241252164684,,,26.838467852025445 75.81037183055139,,26.992933811304756 75.77026300736067
26.87513257643936 75.74217761992543,,,26.97420683048174 75.77016670530193,,26.836946273678933 75.8598661786813
26.85987275458984 75.82912533916772,,,26.84758040661891 75.87108398599307,,26.84932583288327 75.81898649737109
26.990094433761175 75.76049510694504,,,26.92755406288164 75.71596342758741,,26.821204299542124 75.84307140317672
26.835969949121463 75.76836847969335,,,26.954844104320337 75.78824139409116,,26.89326136169995 75.7342529638511
26.975301231446018 75.78773901987351,,,26.94942790246482 75.74925584091403,,26.862527441145975 75.8189308037393
26.797237321305754 75.87876340525997,,,26.880453169329755 75.93042479921367,,26.97468549865985 75.73940963879674
26.899814659072344 75.66472551830859,,,26.90970084285934 75.74905164324716,,26.81125235899337 75.88134881996801
26.975158537229895 75.83309421829468,,,26.902868859377254 75.70934684168247,,26.81983251078457 75.78293771251818
26.85530024897373 75.84425751350881,,,26.826051796261833 75.8472274306632,,26.886295811100485 75.79380746483294
26.860963108715982 75.71167693071523,,,26.95288327828042 75.73156552947542,,26.8256535816068 75.79630646905169
26.85262962671427 75.90516737772562,,,26.832423619335554 75.76584757312644,,26.818643198000267 75.86241468295023
26.901117401151282 75.7085637660828,,,26.823088265854576 75.8922970329754,,26.895164873919907 75.83176505437791
26.886003967105836 75.7959951282383,,,26.804364965690798 75.8060121662479,,26.901796672519446 75.84282711742112
26.960851045028917 75.7091720514833,,,26.922985809921887 75.86970550638243,,26.81792401675105 75.8445062367093
26.831906164010924 75.82810461390169,,,26.92469598697629 75.88251094395252,,26.916354764673773 75.79335543967285
26.941162021987907 75.7213699205538,,,26.795478046815173 75.80076150271672,,26.85531174597897 75.92658129985945
26.810594271652207 75.8118945752913,,,26.88200203788439 75.79435742968016,,26.98783755599786 75.79934819446574
26.868338068409454 75.93048677449757,,,26.921284512748187 75.75867086436787,,26.91337169365857 75.81991485103599
26.955021417792338 75.81961973499652,,,26.826297581767633 75.90407553497617,,26.925480164172065 75.7125940403556
26.79482386239977 75.7928752874541,,,26.933839577502 75.78711516970002,,26.98438560935166 75.81748003623845
26.905667258468306 75.72723733763232,,,26.998066448348183 75.74402457783638,,26.814904664959425 75.81887289250008
26.979920955054673 75.80271247880773,,,26.94605466849836 75.76868527102874,,26.83748187231952 75.87674806172173
26.859056952051567 75.86056682306213,,,26.82099792157716 75.89242884134445,,26.940445968819397 75.72562326908115
26.871983307397553 75.75903247431233,,,26.927108862118295 75.79805063245647,,26.81682893182291 75.78654768268895
26.79977219758846 75.85576178853482,,,26.89913808363087 75.90547914121339,,26.843296995445307 75.84225377855192
26.853437921659 75.82049902371503,,,26.920409359937697 75.89488355991648,,26.961080170493624 75.8504982560875
26.81039725633531 75.86612424709345,,,26.94781289958169 75.82235138878774,,26.79676674936069 75.85357470484787
26.82925648314742 75.89591547297725,,,26.854791933045412 75.79410039055459,,26.898047475161654 75.82346569191547
26.875774185353325 75.85904424442754,,,26.932759021793764 75.74064006755177,,26.792330186325863 75.84098254073677
26.88751359548672 75.68861580045468,,,26.83261598140632 75.88165367673828,,26.902658497569398 75.74226057431142
26.981614549751534 75.74015420281346,,,26.831168235648246 75.80315522165012,,26.866006712342294 75.86447997476073
26.897406907031417 75.84312654378456,,,26.98473209571707 75.75629985396415,,26.97089308162499 75.71759990491454
26.80154110768847 75.79264079680915,,,26.897558998644534 75.76571702459455,,26.97190640019146 75.75843020538065
26.85423009266508 75.81432717434068,,,26.85703318083169 75.88337999871514,,26.8584280484002 75.87203893529153
26.911013466734705 75.76729603636369,,,26.87229709608542 75.73893807437616,,26.813426429240295 75.87278073419758
26.96823189146671 75.7224023086031,,,26.837647117618555 75.77926972563176,,26.793440068393892 75.84187991088352
26.840398207824027 75.75784614191411,,,26.92806784606952 75.70594138810559,,26.84827836971866 75.80340748562884
26.97612716281325 75.81575981444112,,,26.972686250467667 75.79173380302231,,26.876191495038256 75.71643098061865
26.84844863438096 75.85009113831639,,,26.905208467000783 75.74946358694716,,26.962995956662542 75.79082189580072
26.925590275692166 75.77473568710687,,,26.8704815021615 75.81137717576033,,26.896660273154357 75.9274718338659
26.786744641087047 75.84447806782046,,,26.877216520406613 75.77261544482667,,26.842171307134183 75.9012555997024
26.932035046176562 75.75576967155087,,,26.77629261898756 75.8360601017378,,26.833341617023567 75.76673540810408
26.76056950558318 75.85265909089489,,,26.890804775518767 75.787734385195,,26.827913035973218 75.80043221802967
26.98415743145248 75.73593938864606,,,26.903346028418873 75.71034740352931,,26.96274060176836 75.78240393436994
26.987352882947846 75.79574920561211,,,26.78947404123844 75.82064663352034,,26.89393067539116 75.76809333277589
26.964103755059835 75.8126423175209,,,26.964878922676256 75.78132733299977,,26.842883902373384 75.87439228501776
26.924557316477046 75.87810092464923,,,26.92091049161882 75.76212846396469,,26.800444063053344 75.86582055096642
26.83223926110107 75.79849731860816,,,26.779602002055952 75.80862642280412,,26.841979406677236 75.76423034166393
26.820428472940343 75.80147684849483,,,26.78588856156215 75.86006762861194,,26.861207447127633 75.73812924822484
26.78995815214386 75.87579844487756,,,26.937800415857303 75.74819582975414,,26.826218565078808 75.758062300393
26.873931216234983 75.72192899391108,,,26.947684104073723 75.82605141708777,,26.831999555857905 75.7552244929122
26.87428126613211 75.77028684429578,,,26.911077446896513 75.721970802814,,26.78425717079891 75.7946686680069
26.85382994941212 75.91832697111823,,,26.86482192398951 75.75717519456197,,26.788810867596744 75.7975692475879
26.881846751583577 75.7065382039128,,,26.983846369375474 75.82418832335426,,26.828767263560866 75.78442208168978
26.80918819175723 75.8011066603008,,,27.01274745810166 75.77031105129959,,26.897277934637316 75.89217024380982
26.90111699054519 75.82184480526146,,,26.883313561549933 75.8972902119773,,26.903345566832133 75.68414615968439
26.92297825165318 75.82221289848263,,,26.895318334706385 75.73081616985006,,27.008907567659868 75.7904217183123
26.813745146496988 75.89303758923799,,,26.850647293272708 75.86287650047706,,26.960311915512253 75.72872311310002
26.80912214640123 75.78521453754355,,,26.94619582155585 75.77040805782948,,26.788480538292127 75.81431991190176
26.7762387876087 75.86667529981855,,,26.973413412815763 75.81628148789014,,26.868556422236843 75.78796237083156
26.75577856305573 75.82901440197189,,,26.925091074370684 75.80381735148728,,26.946142087448035 75.7091152533645
26.92562690382224 75.70162329310645,,,26.949778648783596 75.82593300970518,,26.91193790193138 75.69982746936448
26.888887853657767 75.85384971300897,,,26.904156848633225 75.80157349922429,,26.84783287697729 75.82190528976408
26.910562628043092 75.89744956154635,,,26.882639218304185 75.77203672940372,,26.92291578668473 75.75621796307775
26.918797343055935 75.73923911345882,,,26.88756981177158 75.82407436407696,,26.91546334928956 75.76966836816699
26.7834607717443 75.80000328275037,,,26.93536826688872 75.86218800678115,,26.947076235665502 75.80203221184195
26.879118820616046 75.73774955875872,,,26.905046477903543 75.67746998728889,,26.975537148322218 75.83058221710913
26.871043265298137 75.90092584550041,,,26.870531612265687 75.7718564158752,,26.871245231881364 75.92335000596346
26.91169276491689 75.82388567517391,,,26.939616519090965 75.84369794283735,,26.77020581522061 75.86500179439743
26.84250506423953 75.73721446056418,,,26.94046566028781 75.81387363592111,,26.95279315201552 75.76722829139351
26.928981863746465 75.86341547699868,,,26.84274637507594 75.86199643661759,,26.884215255749307 75.69595859015007
26.863120141999772 75.82878710940332,,,26.9368817152671 75.67323117092118,,26.92755500309595 75.82116314967384
26.907496904570184 75.78376817056724,,,26.87176982960335 75.87445011702653,,26.906777558620767 75.84506678751714
26.967680054815037 75.80026794606711,,,26.943803924455374 75.82126782107285,,26.79512650121688 75.84246452351651
26.97767723415445 75.83269815613794,,,26.81661285531581 75.76403996940644,,26.920246935472523 75.87199310508606
26.848913445461164 75.7989630942258,,,26.847222273501117 75.91992810957346,,26.959671533731424 75.71317120839254
26.908243338543052 75.65148733155401,,,26.933420575500566 75.79489081191689,,26.888453934546618 75.81566845298671
26.963918441354892 75.8358089940351,,,26.84811496275531 75.84457669569942,,26.843012356187742 75.85040327850176
26.770696398817808 75.80933036111895,,,26.942422108743568 75.83664941401638,,26.883695850823152 75.77847517162512
26.87375151395324 75.69255900598858,,,26.943697869128243 75.8478060167363,,26.887714547221087 75.7531384765831
26.96271257888407 75.80308304099778,,,26.899936840815315 75.9231862111338,,26.973896515322103 75.80882141516038
26.977628215061547 75.75571277714795,,,26.936066437339445 75.86718973626166,,26.922574060051076 75.70327747152635
26.95782199489023 75.81720957372214,,,26.922334192469442 75.70303116276581,,26.81474883483412 75.80870032043478
26.90981599568128 75.88329431270745,,,26.823846544024757 75.87366314073128,,26.900433976965132 75.8850569726875
26.981779037512602 75.79890006237048,,,26.9455379103374 75.6986346774583,,26.913669248085153 75.685492690978
26.934850432172325 75.78554623659699,,,26.93974680990086 75.71420448227946,,26.896290600727085 75.80359091335332
26.901757624601025 75.8814364022499,,,26.957057186885837 75.69451624668784,,26.95650568957859 75.83241620614737
26.911156234720266 75.74023105045201,,,26.869074538085563 75.81490354776443,,26.853090089147344 75.861376322726
26.903503535361953 75.74608407014541,,,26.90986132968554 75.77399762147411,,26.94336605227357 75.82256365641258
26.923327948347286 75.84883636917566,,,26.912043256430163 75.81113401016282,,26.8659086203304 75.71661269166376
26.98748791893618 75.81742534771598,,,26.914925870057886 75.64916768995545,,26.82461928329894 75.89655828181634
26.88257398360426 75.73838117619505,,,26.905970536917785 75.7878431762854,,26.9685214020913 75.82963253444247
26.960004013074435 75.72644725088583,,,26.7922203943591 75.86259946628383,,26.989699523751053 75.76300800675683
26.867289618187467 75.70543864004206,,,26.941272604416422 75.84985166381696,,26.908647335439102 75.87544344967594
26.771648419542814 75.84539321955666,,,26.903017205081248 75.80332764518786,,26.852066130611018 75.88177356619231
26.858733099958183 75.79376237791094,,,26.906960103717513 75.77643235413034,,26.893582013102414 75.87831678926268
26.870888003026266 75.90125477357014,,,26.93807951134294 75.8243879975758,,26.916546018565974 75.83678816184072
26.927190002997087 75.82264180109789,,,27.010209633347085 75.76243211287039,,26.77898050766024 75.83818260783032
26.923292583279167 75.8578454455185,,,26.901115065584428 75.71073273670997,,26.816381388415273 75.80837149413134
26.926835614700146 75.87755512950797,,,26.819966672398174 75.81256585307742,,26.84997626135239 75.81700121645592
26.86683043778538 75.87119967575785,,,26.960356542405624 75.83768550097358,,26.826670196811616 75.89128757335334
26.981100954731378 75.7640560865255,,,26.861830792401076 75.7328026041147,,26.836522292085935 75.79638802464078
26.861443172368457 75.91477779287045,,,26.914795644655037 75.7897929156266,,26.96637400583566 75.79816709755038
26.97374623995267 75.73012917145026,,,26.90195669906625 75.73144337676737,,26.96163002802033 75.70114173848928
26.966375943895436 75.79779458381304,,,26.947515637179528 75.68551128824598,,26.943710760859815 75.75622423266927
26.88028731345082 75.91301574243613,,,26.862879842841355 75.73559922544577,,26.90528945450351 75.90641199972893
26.896523149687397 75.9308418806242,,,26.82681023561899 75.90577032626615,,26.794617898979002 75.81955674588522
26.9614595359905 75.85031917736734,,,26.92032611129184 75.8914973684809,,26.86138481755845 75.8668194571362
26.889550111362603 75.7680798301498,,,26.92890251301342 75.83161653903993,,26.926408501938976 75.74710578573226
26.921611903854604 75.66409965075965,,,26.905218225193387 75.76497762294258,,26.856251515595307 75.91708113555262
26.89728361032091 75.76008238120298,,,26.845475648800708 75.79786372397508,,26.95913571428924 75.73473240308742
26.93119451943049 75.86105766664713,,,26.762596976491 75.84392289230168,,26.90197268346232 75.86628579260223
26.79972128298481 75.85468222028464,,,26.956785924131623 75.74716395954368,,26.839797295562867 75.84767149852597
26.899652737867275 75.92255223385739,,,26.831729930629248 75.91086591099356,,26.955362455524163 75.77088094189655
27.005996809265937 75.7679548290705,,,26.841426379545897 75.80970850666496,,26.919746685329752 75.66618323698292
26.869626434555006 75.7263971071711,,,26.89105098186265 75.79936655168949,,26.93676253579524 75.72753110761889
26.92917591675628 75.79615572921715,,,26.898292236591733 75.82644775868339,,26.895340679206257 75.85220399291342
26.904652706587367 75.86201037285652,,,26.855869923885223 75.88086708587545,,26.864887841378764 75.79225671347885
26.84068965345665 75.74956759718536,,,26.83666867905374 75.79677769828625,,26.816153541450053 75.8659095992805
26.927112171301566 75.77983886018563,,,26.930997154589562 75.73397764944355,,26.92082721466692 75.85147006795404
26.947095891817067 75.69333893104839,,,26.971878311221133 75.81414561427187,,26.95683571975295 75.72314159359009
26.887726707579468 75.76852756298828,,,26.841768410803628 75.79222130275328,,26.807719835524424 75.8883866541328
26.791482149354447 75.83215654115446,,,26.98504245047229 75.81868128776016,,26.934189817305484 75.82681392253843
26.879543340315934 75.80166111201092,,,26.878433365794574 75.8017209850138,,26.941735201432657 75.75021553900505
26.86381535013061 75.72473522514898,,,26.895229558540066 75.67894959148771,,26.88555694259871 75.76025794731301
26.9005871787788 75.74248676476087,,,26.94927182377202 75.69535959902979,,26.92428897614104 75.76192940655197
26.918440462431594 75.87556140191592,,,26.93184971072926 75.79831481149144,,26.866913970686504 75.84625186057121
26.943077076922652 75.87393686404076,,,26.905833792948815 75.82299039707377,,26.93538842887528 75.73437577065296
26.89377592679831 75.77316003610021,,,26.91234496154854 75.7653540950301,,27.013101714507123 75.76912061278219
26.859098611075943 75.82589164966105,,,26.802469207917234 75.81776091313392,,26.97332090933629 75.78697566472506
26.89976096993626 75.88891858838863,,,26.926459876981315 75.71394889150524,,26.91062971044387 75.8659722560317
26.89033622684017 75.90559796185855,,,26.957827587335416 75.83618970720924,,26.921639170589877 75.70022630007898
26.95474072010252 75.73315582392765,,,26.942666536187236 75.82502538178603,,26.82954911536487 75.81793278404157
26.871104497165256 75.72829519819717,,,26.927679289355634 75.83218262545853,,26.821151470673055 75.79897904238547
26.826289939552453 75.87396607171631,,,26.956105286406395 75.71322215687623,,26.787534795627128 75.83246403712718
26.92487854333498 75.73443291497973,,,26.96252208338084 75.83381592552429,,26.889766408247002 75.78283915572217
26.847131113887 75.73033472595061,,,26.88175591597856 75.88509818291023,,26.891492040221557 75.87444493056037
26.884751417765354 75.87734555163483,,,26.826033732377155 75.79898660934678,,26.91608596580776 75.76569528192064
26.85433621385868 75.90772094153157,,,26.863277271612304 75.80441154343141,,26.876213103951276 75.69859101677933
26.93868422965545 75.83275261162956,,,26.91679309682231 75.71236668344889,,26.83665522628112 75.88541408543654
26.7855622433982 75.8494674082756,,,26.905552539680187 75.7756456716342,,26.89727045883591 75.85158319751777
26.90543841204481 75.70864930000764,,,26.82994561385014 75.75693915920505,,26.8907318985908 75.79062521332216
26.928923066528732 75.76801791135648,,,26.89845506120305 75.70280749372257,,26.82062665129033 75.75909738577202
26.897441799939976 75.8891874942407,,,26.77657759583171 75.83892472976517,,26.775575308928005 75.8140210518191
26.772169326841983 75.83579898173701,,,26.824478537445284 75.79249083545473,,26.938232393047308 75.75489972562133
26.90557155763912 75.8780931940404,,,26.896811994946738 75.73135381354952,,26.952440292934075 75.71848381326744
26.85375098936229 75.88700223139712,,,26.835187632031904 75.75443998523969,,26.902287812062365 75.72026840197087
26.818052235073758 75.89240117880139,,,26.894950565213453 75.71916086950031,,26.958897803528636 75.83956435016991
26.917856836085498 75.70001354496512,,,26.88776593694823 75.70858615673663,,26.810065767417957 75.84842923930867
26.878124286267663 75.8622800950784,,,26.824591253122108 75.83919072909622,,26.883446850633582 75.89482464554101
26.974731130933147 75.73251821134737,,,26.89154596766518 75.69712159640738,,26.90407268339381 75.81105758305637
26.887166856902976 75.8310454901165,,,26.86747790399003 75.7046410056921,,26.819615043924916 75.82292628500218
26.87694453813829 75.94131645933143,,,26.89769807525184 75.79172465433749,,26.876693567681095 75.92969276649238
26.877229488727895 75.82830806394672,,,26.8977072532833 75.77077542504475,,26.83039066296624 75.8951945581981
26.945010825814574 75.78779664878647,,,26.975766018627958 75.78955033654347,,26.898066313959795 75.7031360500987
26.834432120040088 75.74920559705087,,,26.92781139725273 75.81467995181214,,26.869493967224486 75.8740009797988
26.976880826401878 75.76654430043514,,,26.96559905126355 75.83292282779679,,26.799535704984226 75.81740639062852
26.832773097854687 75.84494717347702,,,26.914754258684543 75.66271822282792,,26.784563035948246 75.83807348198589
26.936247238181174 75.86847205668437,,,26.963433175104896 75.79968394981927,,26.973120824188452 75.72109047246794
26.76358852418194 75.83751800702717,,,26.958969267169056 75.74595111963743,,26.91427385635149 75.74542898032459
26.971651826171687 75.74333699032232,,,26.93037894757363 75.80549800926407,,26.90344752170498 75.89189215906488
26.96397972056532 75.81676021846043,,,26.869629711801593 75.85438529080633,,26.785776985134206 75.79838341259794
26.9422137687209 75.87164393089479,,,26.85934346014 75.79560204840749,,26.929459853928094 75.71768026345381
26.87158769095071 75.8748725130044,,,26.88903966486559 75.82410514894843,,26.840218493665393 75.7836256741284
26.871566950348516 75.85857877591418,,,26.89434927925094 75.79381401981007,,26.83462212456096 75.80770473816888
26.968400802764965 75.78387145915069,,,26.92375509241688 75.6978561613482,,26.92455689175747 75.85591879901672
26.83219007857993 75.8832080426048,,,26.823778464823192 75.85183090900689,,26.929767825413737 75.88269401621798
26.962797658727343 75.73746276347197,,,26.968685320953018 75.75243840109907,,26.922085694164533 75.69134993610609
26.968242589053094 75.76037565988739,,,26.836678665727018 75.74464759404299,,26.840147497954042 75.82825799577442
26.931615894247056 75.83567639790132,,,26.841228174672796 75.9098868448494,,26.839527957795575 75.90623223857564
26.95675536598219 75.70455791615231,,,26.881100010286367 75.73612304686807,,26.928261809687818 75.76412288400812
26.935095816885 75.80623754715532,,,26.83860126413424 75.80301306709507,,26.88595029769541 75.83870594023938
26.908861540595282 75.7164580613986,,,26.798041198994333 75.8047413329818,,26.89162851096333 75.68313561033851
26.92424894992231 75.70133035441101,,,27.022401266627774 75.78091792396545,,26.77615593739142 75.81301970209387
26.897031053742076 75.80748934864522,,,26.84640494107815 75.7519824976029,,26.806817133837615 75.7995644401863
26.843700921418886 75.88648648636311,,,26.982789575585848 75.77483720404763,,26.999680844683606 75.75799321171574
26.85320622306886 75.85299245858363,,,26.83487057375482 75.85076081279574,,26.91153562021796 75.88360417481299
26.845207155886918 75.7214363704525,,,26.895109900952693 75.72765413334413,,26.900499199909557 75.81862456417849
26.89953670863085 75.81259973416086,,,26.83690886426533 75.78139675604226,,26.922616400166717 75.89681616922347
26.83715788901958 75.77345348320884,,,26.909328262278553 75.74694927695265,,26.88800432383752 75.75537803652767
26.857430142319863 75.81533397646044,,,26.92145189116485 75.74613600809636,,26.82359539388775 75.85177075972352
26.883870732877796 75.9270646829547,,,26.925679096728093 75.88372055892798,,26.873979855185052 75.79114140238384
26.899681784525423 75.87942489150338,,,26.935934356062432 75.80079598862487,,26.870151101952988 75.80940881743898
26.777283835332877 75.85336020711888,,,27.003847977511985 75.79531255370834,,26.859664327289877 75.7563209859782
26.94008701702133 75.73480112693095,,,26.81283528086417 75.80260055503989,,26.901582466046992 75.7068864587683
26.92358926661044 75.66016846617366,,,26.94023144015208 75.8294522734001,,27.01616189056827 75.78338916612445
26.8895487600659 75.6738530981313,,,26.89501891371219 75.6796482266016,,26.80472028497982 75.8710534805917
26.814927932608835 75.89610494709234,,,26.8852665812305 75.92465964030683,,26.92933172378884 75.74393869128275
26.848281089935288 75.90844544254166,,,26.89924356613612 75.754970100756,,26.936880107856595 75.78940588396343
26.837610580430713 75.8190283870939,,,26.981191497466913 75.79613546987026,,26.914597950798427 75.82172371690639
26.908187775084667 75.88140129427916,,,26.927218084986933 75.75019083445369,,26.910509322461035 75.73942073029295
26.9119376199626 75.90307681071243,,,26.887833778652755 75.76741624345827,,26.975355177408066 75.74707263294418
26.925698766200032 75.69981155620654,,,26.897188914297903 75.66501792334326,,26.815189439394405 75.89234550922953
26.815499154660127 75.8794582346321,,,26.928043700896488 75.75439631431722,,26.828021424550148 75.887329140455
26.931542074426577 75.68677807345946,,,26.890646071239736 75.72039733988152,,26.86898541431543 75.85314500538603
26.927006630114832 75.84469810770506,,,26.94018334919273 75.77389181336257,,26.872905194010933 75.84634395879432
26.83151719597898 75.87985671972189,,,26.86158196352079 75.75862928879116,,26.840436007627485 75.86924286753576
26.83194687633332 75.84249575117231,,,26.776787722900043 75.84062803915808,,26.840648138552613 75.79060124795393
26.84880304280256 75.82589362177221,,,26.892446438882864 75.8420030761652,,26.794916099992324 75.85914973395447
26.848877898335672 75.75741308633164,,,26.842337732571462 75.72599467009186,,26.835310615655796 75.87391561643989
26.93489737151265 75.67013120916806,,,26.760790373038656 75.82519374259114,,26.903225571813554 75.9136771336681
26.884495598049458 75.89199923227184,,,26.95546347942546 75.74523852115178,,26.984997559481677 75.7529284031562
26.934288162711514 75.74907070457739,,,26.812207074797925 75.81390336984688,,26.89815879328851 75.84789939790551
26.775816849675383 75.86169268703556,,,26.904635080405633 75.87474006708278,,26.88619115650152 75.85514508832681
26.88807308038577 75.78048655406,,,26.88125295242091 75.88694673604441,,26.8381179005547 75.84266809822051
26.926850265237587 75.71424761600424,,,26.957985521503332 75.8531752027054,,26.97784636557139 75.81099358303607
26.825811331934485 75.80183418459013,,,26.80994186258875 75.83154613176163,,26.90947937200391 75.70203885780707
26.86117985492503 75.92358405361273,,,26.95972349200586 75.84247563665302,,26.920184822261355 75.89464090190901
26.939329703906942 75.78048180178837,,,26.948643884598145 75.70635884176687,,26.9118486681758 75.90284276377301
26.93271314171356 75.71543207961865,,,26.937709848618976 75.71880776468313,,26.923231244030255 75.80641138370876
26.74915184368286 75.83719930134566,,,26.84273863553235 75.85961929522884,,26.875711553922685 75.92331709989531
26.862797366821745 75.77689005718788,,,26.97740132431253 75.83003236726611,,26.783183880591636 75.8397597618424
26.8676793780913 75.81406251605654,,,26.89184232942745 75.86492325147533,,26.79978960740062 75.82872467101649
26.957939794172137 75.82051906143843,,,26.884963429788158 75.67827208089241,,26.871376494008896 75.88219755974849
26.78996242554727 75.85406249511982,,,26.852934145546396 75.86938003058866,,26.77571737236549 75.86489718709598
26.91914725824116 75.64972849596779,,,26.748272331653457 75.84905998226314,,26.973513445683178 75.79091800193311
26.94725993476748 75.75742166547883,,,26.897738280685385 75.89535477962974,,26.985235316121337 75.78118319223319
26.904821857268512 75.75286684203553,,,26.936152772215593 75.87265370004283,,26.872916553549175 75.92471702746927
26.909729640390665 75.7818728830783,,,26.942884705061868 75.69128060495535,,26.931040864555182 75.7329329889951
26.932486511801454 75.8447240238157,,,26.83580110474328 75.85967338465835,,26.88145108097395 75.70068754266268
26.92177552824495 75.67696632899637,,,26.831235454713568 75.74307055451165,,26.909307144513278 75.8508158052067
26.813184782406367 75.83257409446891,,,26.89093488507054 75.8895565538102,,26.83774644083814 75.83201466889439
26.944338252603917 75.82491287211552,,,26.980105271712564 75.76249289171484,,26.80207972671426 75.85377609893655
26.8642978166386 75.79592820648206,,,26.876337615123635 75.87847589985886,,26.8561585392658 75.89741098270977
26.90638258487326 75.77938884693107,,,26.818760115922665 75.84667083376652,,26.861730253061143 75.8410868445352
26.87167534329167 75.80755401483144,,,26.96907701833533 75.73905744517016,,26.856163804030324 75.7237092663931
26.98159025910758 75.74200932058457,,,26.896861196704823 75.84633951810052,,26.891035393016054 75.84493752122765
26.929669494108186 75.8051281716197,,,26.756985483995614 75.84216525438958,,26.919354700340364 75.79710762131927
26.891314763041862 75.9162223235415,,,26.984955648821728 75.80108696079037,,26.9613905444056 75.71571209557834
26.89949796707398 75.7416192296079,,,26.937391295185872 75.79910896600838,,26.88626853153846 75.69587435143536
26.898599691765856 75.68723116171927,,,26.878993340186643 75.82965078001082,,26.86943362545424 75.87084617079387
26.905713522921303 75.70450687053665,,,26.89523204107091 75.66697438997475,,26.93783575723998 75.8791115288351
26.983445256057895 75.81289948452716,,,26.918643383206682 75.66423318343978,,26.774710733035405 75.83463919370806
26.85216046246968 75.7142364359636,,,26.908339030286243 75.7913359871959,,27.008524808788852 75.7844242625635
26.867717199427062 75.90075629536686,,,26.81838180053565 75.77800546503516,,26.926238649605143 75.81813778292602
26.87147931943928 75.76536217826553,,,26.936923064555096 75.80462982688564,,26.815899982995315 75.83620240564132
26.77414162508705 75.83926622571222,,,26.97145255317188 75.82333441494505,,26.796786731649796 75.80970620768474
26.89906788538357 75.73404828666362,,,26.93090993187009 75.77224373858466,,26.825618220613638 75.79678924162414
26.804637479740148 75.77871931104632,,,26.90528741189771 75.85277142245846,,26.818847413555872 75.85172962369859
27.006729297794255 75.79061587437803,,,26.874838463882153 75.84164712020964,,26.846817261762425 75.75417924596324
26.926364775552805 75.72109137183614,,,26.964101670018035 75.71958772777377,,26.974576906913857 75.77710030219157
26.950676560955596 75.79297737498943,,,26.813101998478167 75.77475390312024,,26.82943459711103 75.79139467305221
26.83448604182057 75.81737235662548,,,26.80806064620043 75.84496569769053,,26.778851081151643 75.8167441190123
26.930800610874265 75.85612378049494,,,26.853402711525852 75.84698432559036,,26.867284520738867 75.78046444616788
26.803267457648595 75.82981451995492,,,26.906759226653552 75.74079630788671,,26.8228587239246 75.86390740613828
26.89207312239856 75.76751822809396,,,26.76130415233874 75.85717468156614,,26.786011368624695 75.87570065273933
26.926644588747504 75.81791401962532,,,26.83516506808405 75.74919970446356,,26.929207426057356 75.67150793028188
26.93777327088178 75.78240116675954,,,26.88709878106142 75.80228123774607,,26.99193625379774 75.7569274511638
26.769077133458023 75.82913942585012,,,26.9849259016851 75.77861946262108,,26.803059323163822 75.84017530854197
26.909136195658117 75.79929643631074,,,26.871946256535452 75.84871413128032,,26.885578647907685 75.78898760074856
26.850791368839907 75.89472295839909,,,26.969342342012006 75.75658266516112,,26.872130017249404 75.83910655311092
26.857932300275568 75.91527466789994,,,26.863488057681764 75.80802168531224,,26.832372299511558 75.73847465594255
26.825096187198067 75.75295614584364,,,26.84540277322209 75.73939764683469,,26.820001405933173 75.82674860983704
26.89658366151602 75.86184126451637,,,26.81844694667776 75.81509804480257,,26.88297928545867 75.71971418200303
26.99395010522679 75.76033401407702,,,26.901828682071887 75.84501425670952,,26.8765353200753 75.82687638425456
26.85819549690245 75.71780386083674,,,26.888784033389772 75.67350844193393,,26.776947022829344 75.85709695035764
26.84334489850079 75.80235272649459,,,26.960427639747348 75.7031622602036,,26.902089358336266 75.77767231997049
26.878552087398646 75.71673293351176,,,26.973936787770203 75.73552324242532,,26.90664953980651 75.80665267125151
26.939796776513543 75.86718907945716,,,26.88715589753289 75.81342763748904,,26.925043347291478 75.85360098119604
26.92957287312263 75.68232958520515,,,27.003736539132646 75.75577371547753,,26.79821297706133 75.79557668441151
26.940858372951457 75.76704698884276,,,26.921142174499646 75.85454777240929,,26.916812497339606 75.77480247997042
26.94847029488572 75.71965512826814,,,26.896804291945724 75.69443393846139,,26.868022182001898 75.70867249670118
26.925149704571734 75.80047428850585,,,26.99495697873134 75.75464312014687,,26.849250542506873 75.77128311646895
